Composition du train,Type de matériel,Ligne,Tournée,Code de dégradation,Période d'exploitation,Type de Jour,Année civile,Année civile/mois,Année civile/semaine,Année civile/Trim.,Jour calendaire,Jour de la semaine,Mois calendrier,Km voiture
001-000-000,10,Ligne verte,0,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-16,Mercredi,1,2.475
001-000-000,10,Ligne verte,0,CMC,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-22,Mardi,1,3.573
001-000-000,10,Ligne verte,0,CMC,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-23,Mercredi,1,5.022
001-000-000,10,Ligne verte,0,PA,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-18,Vendredi,1,13.176
001-000-000,10,Ligne verte,9,CMC,19J,Samedi,2019,2019-01,201903,2019-1,2019-01-19,Samedi,1,229.428
001-000-000,10,Ligne verte,9,PA,19J,Samedi,2019,2019-01,201903,2019-1,2019-01-19,Samedi,1,2634.912
001-000-000,10,Ligne verte,10,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-18,Vendredi,1,77.328
001-000-000,10,Ligne verte,10,PA,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-18,Vendredi,1,941.166
001-000-000,10,Ligne verte,11,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-18,Vendredi,1,50.283
001-000-000,10,Ligne verte,11,CMC,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-21,Lundi,1,73.548
001-000-000,10,Ligne verte,11,PA,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-18,Vendredi,1,564.498
001-000-000,10,Ligne verte,11,PA,19J,Semaine,2019,2019-01,201904,2019-1,2019-01-21,Lundi,1,752.832
001-000-000,10,Ligne verte,13,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-18,Vendredi,1,129.447
001-000-000,10,Ligne verte,13,PA,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-18,Vendredi,1,1557.081
001-000-000,10,Ligne verte,18,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-16,Mercredi,1,53.658
001-000-000,10,Ligne verte,18,PA,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-16,Mercredi,1,564.75
001-000-000,10,Ligne verte,20,CMC,19J,Semaine,2019,2019-01,201903,2019-1,2019-01-17,Jeudi,1,66.627
